ID,REGISTERED_AT,MAGNITUDE,TSUNAMI,SIG,NST,DMIN,RMS,GAP
00885981,2024-10-14 01:41:07.183 Z,0.5,0,4,9,0.088,0.2,173
00885982,2024-10-14 02:48:21.436 Z,0.9,0,12,12,0.277,0.2625,241
00885987,2024-10-14 03:41:00.444 Z,1,0,15,22,0.327,0.324,213
00885989,2024-10-14 03:42:56.582 Z,1.1,0,19,16,0.397,0.2567,273
00885990,2024-10-14 04:50:32.534 Z,-0.1,0,0,8,0.054,0.0846,200
00885995,2024-10-14 06:11:13.305 Z,1.2,0,22,22,0.339,0.3009,212
00885999,2024-10-14 06:20:21.690 Z,1.3,0,26,27,0.368,0.3189,127
00886001,2024-10-14 06:26:18.181 Z,1.7,0,44,20,0.792,0.353,222
00886004,2024-10-14 07:33:55.508 Z,0.4,0,2,8,0.37,0.1296,261
00886005,2024-10-14 07:35:11.632 Z,1.3,0,26,26,0.546,0.3696,265
00886015,2024-10-14 09:42:44.752 Z,0.9,0,12,12,0.151,0.2285,277
00886017,2024-10-14 10:00:14.927 Z,1,0,15,13,0.263,0.2383,258
00886053,2024-10-15 13:32:42.192 Z,1.9,0,56,12,1.069,0.2018,127
00886055,2024-10-15 14:06:24.910 Z,1.5,0,35,24,0.349,0.3058,176
00886058,2024-10-15 14:36:06.391 Z,1.2,0,22,8,0.144,0.1327,206
00886062,2024-10-15 15:05:46.103 Z,0.4,0,2,10,0.087,0.3838,188
024d70ehzk,2024-10-13 22:11:01.416 Z,3.2,0,158,,,0.9,
024d7156rh,2024-10-13 23:35:52.611 Z,1.4,0,30,,,0.71,
024d715xta,2024-10-13 23:39:03.187 Z,2,0,62,,,0.57,
024d8axci7,2024-10-14 00:25:40.369 Z,1.1,0,19,,,0.24,
024d8c384h,2024-10-14 02:20:56.654 Z,2,0,62,,,0.65,
024d8c4ggm,2024-10-14 02:26:31.261 Z,1.6,0,39,,,0.74,
024d8cm3bj,2024-10-14 03:08:59.035 Z,0.9,0,12,,,0.24,
024d8csgmj,2024-10-14 03:38:30.872 Z,1.4,0,30,,,0.58,
024d8ctp58,2024-10-14 03:44:07.806 Z,1.5,0,35,,,0.53,
024d8cvn5s,2024-10-14 03:53:15.208 Z,1.6,0,39,,,0.97,
024d8d9509,2024-10-14 04:16:11.772 Z,1.9,0,56,,,0.7,
024d8dh25u,2024-10-14 04:53:07.381 Z,2.4,0,89,,,0.34,
024d8dv108,2024-10-14 05:18:24.247 Z,2,0,62,,,0.44,
024d8dzkry,2024-10-14 05:39:46.703 Z,0.8,0,10,,,0.3,
024d8ehig3,2024-10-14 06:23:14.596 Z,1.9,0,56,,,0.42,
024d8eicm4,2024-10-14 06:27:05.561 Z,1.7,0,44,,,0.42,
024d8emh3u,2024-10-14 06:46:30.020 Z,1.6,0,39,,,0.41,
024d8eyxdj,2024-10-14 07:04:39.598 Z,1.3,0,26,,,0.64,
024d8f3u5w,2024-10-14 07:27:30.768 Z,1.4,0,30,,,0.71,
024d8f4b7e,2024-10-14 07:29:51.623 Z,1.3,0,26,,,0.42,
024d8gan41,2024-10-14 09:27:01.457 Z,1.7,0,44,,,0.5,
024d8gdz3i,2024-10-14 09:42:56.469 Z,2,0,62,,,0.38,
024d8gx0mm,2024-10-14 10:31:40.940 Z,1.8,0,50,,,0.73,
024d8gz5n6,2024-10-14 10:41:39.063 Z,1.5,0,35,,,0.68,
024d8hd2wd,2024-10-14 11:06:35.332 Z,1.6,0,39,,,0.41,
024d8hy27e,2024-10-14 12:04:24.470 Z,2.8,0,121,,,0.84,
024d8hzed9,2024-10-14 12:10:48.290 Z,1.3,0,26,,,0.47,
024d8i6lop,2024-10-14 12:44:09.059 Z,1.4,0,30,,,0.76,
024d8jcwug,2024-10-14 14:41:49.201 Z,0.9,0,12,,,1.3,
024d8jgc0e,2024-10-14 14:57:45.420 Z,1.5,0,35,,,0.62,
024d8kndnp,2024-10-14 16:58:28.858 Z,1.5,0,35,,,0.32,
024d8ljz9l,2024-10-14 18:10:38.810 Z,1.9,0,56,,,0.37,
024da5l3yo,2024-10-15 12:21:51.202 Z,1.1,0,19,,,0.67,
024da5n0af,2024-10-15 12:30:36.936 Z,1.7,0,44,,,1.33,
024da5sbqq,2024-10-15 12:55:17.941 Z,2.1,0,68,,,0.33,
024da67612,2024-10-15 13:24:42.301 Z,2,0,62,,,0.57,
024da6a6tg,2024-10-15 13:38:52.206 Z,0.9,0,12,,,0.65,
024da6al86,2024-10-15 13:40:38.944 Z,1.6,0,39,,,0.57,
024da6delw,2024-10-15 13:53:52.848 Z,1.6,0,39,,,0.27,
024da6e28d,2024-10-15 13:56:59.018 Z,1.2,0,22,,,0.62,
024da6o4b8,2024-10-15 14:03:51.568 Z,0.9,0,12,,,1.02,
024da6w0kj,2024-10-15 14:40:35.555 Z,1.3,0,26,,,0.19,
024da7h8z8,2024-10-15 15:40:02.943 Z,1.8,0,50,,,0.34,
024da7uiku,2024-10-15 16:01:31.984 Z,1.7,0,44,,,1,
024ddk8ruq,2024-10-17 18:23:23.224 Z,1.3,0,26,,,0.49,
024ddkbs43,2024-10-17 18:37:26.270 Z,1.8,0,50,,,0.32,
024ddkfl6m,2024-10-17 18:55:02.702 Z,0.8,0,10,,,0.56,
2024ueki,2024-10-14 00:27:24.687 Z,1.9,0,56,17,0.1,0.3,70
2024uevz,2024-10-14 06:21:26.090 Z,1.7,0,44,17,0,0.4,102
2024ufcn,2024-10-14 09:40:05.851 Z,1.5,0,35,14,0,0.5,88
2024ufhx,2024-10-14 12:22:21.113 Z,1.8,0,50,8,0.1,0.2,163
2024ufsc,2024-10-14 17:32:30.936 Z,1.8,0,50,20,0,0.4,52
2024uhha,2024-10-15 14:13:26.852 Z,1.7,0,44,16,0,0.3,65
2024uhjz,2024-10-15 15:43:08.243 Z,1.9,0,56,17,0.1,0.2,87
40953776,2024-10-13 22:24:39.360 Z,0.56,0,5,16,0.1286,0.13,64
40953784,2024-10-13 22:54:22.480 Z,0.91,0,13,37,0.1024,0.22,46
40953840,2024-10-14 04:29:45.070 Z,1.47,0,33,82,0.08406,0.16,24
40953848,2024-10-14 04:56:11.840 Z,1.04,0,17,61,0.07971,0.23,24
40953856,2024-10-14 04:58:17.430 Z,0.58,0,5,23,0.04463,0.14,125
40953864,2024-10-14 05:00:50.210 Z,1.01,0,16,51,0.08585,0.15,34
40953872,2024-10-14 05:15:41.080 Z,1.46,0,33,33,0.01271,0.25,58
40953880,2024-10-14 05:59:40.540 Z,3.21,0,159,20,1.158,0.26,325
40953896,2024-10-14 06:52:43.440 Z,1.25,0,24,28,0.02692,0.14,61
40953904,2024-10-14 07:02:52.430 Z,1.03,0,16,59,0.08141,0.14,65
40953912,2024-10-14 07:16:58.640 Z,0.45,0,3,22,0.07462,0.11,44
