ID,REGISTERED_AT,ALERT,STATUS,FELT,CDI,MMI
00885981,2024-10-14 01:41:07.183 Z,,automatic,,,
00885982,2024-10-14 02:48:21.436 Z,,automatic,,,
00885987,2024-10-14 03:41:00.444 Z,,automatic,,,
00885989,2024-10-14 03:42:56.582 Z,,automatic,,,
00885990,2024-10-14 04:50:32.534 Z,,automatic,,,
00885995,2024-10-14 06:11:13.305 Z,,automatic,,,
00885999,2024-10-14 06:20:21.690 Z,,automatic,,,
00886001,2024-10-14 06:26:18.181 Z,,automatic,,,
00886004,2024-10-14 07:33:55.508 Z,,automatic,,,
00886005,2024-10-14 07:35:11.632 Z,,automatic,,,
00886015,2024-10-14 09:42:44.752 Z,,automatic,,,
00886017,2024-10-14 10:00:14.927 Z,,automatic,,,
00886053,2024-10-15 13:32:42.192 Z,,automatic,,,
00886055,2024-10-15 14:06:24.910 Z,,automatic,,,
00886058,2024-10-15 14:36:06.391 Z,,automatic,,,
00886062,2024-10-15 15:05:46.103 Z,,automatic,,,
024d70ehzk,2024-10-13 22:11:01.416 Z,,automatic,,,
024d7156rh,2024-10-13 23:35:52.611 Z,,automatic,,,
024d715xta,2024-10-13 23:39:03.187 Z,,automatic,1,2.2,
024d8axci7,2024-10-14 00:25:40.369 Z,,automatic,,,
024d8c384h,2024-10-14 02:20:56.654 Z,,automatic,,,
024d8c4ggm,2024-10-14 02:26:31.261 Z,,automatic,,,
024d8cm3bj,2024-10-14 03:08:59.035 Z,,automatic,,,
024d8csgmj,2024-10-14 03:38:30.872 Z,,automatic,,,
024d8ctp58,2024-10-14 03:44:07.806 Z,,automatic,,,
024d8cvn5s,2024-10-14 03:53:15.208 Z,,automatic,,,
024d8d9509,2024-10-14 04:16:11.772 Z,,automatic,,,
024d8dh25u,2024-10-14 04:53:07.381 Z,,automatic,,,
024d8dv108,2024-10-14 05:18:24.247 Z,,automatic,,,
024d8dzkry,2024-10-14 05:39:46.703 Z,,automatic,,,
024d8ehig3,2024-10-14 06:23:14.596 Z,,automatic,,,
024d8eicm4,2024-10-14 06:27:05.561 Z,,automatic,,,
024d8emh3u,2024-10-14 06:46:30.020 Z,,automatic,,,
024d8eyxdj,2024-10-14 07:04:39.598 Z,,automatic,,,
024d8f3u5w,2024-10-14 07:27:30.768 Z,,automatic,,,
024d8f4b7e,2024-10-14 07:29:51.623 Z,,automatic,,,
024d8gan41,2024-10-14 09:27:01.457 Z,,automatic,,,
024d8gdz3i,2024-10-14 09:42:56.469 Z,,automatic,,,
024d8gx0mm,2024-10-14 10:31:40.940 Z,,automatic,,,
024d8gz5n6,2024-10-14 10:41:39.063 Z,,automatic,,,
024d8hd2wd,2024-10-14 11:06:35.332 Z,,automatic,,,
024d8hy27e,2024-10-14 12:04:24.470 Z,,automatic,,,
024d8hzed9,2024-10-14 12:10:48.290 Z,,automatic,,,
024d8i6lop,2024-10-14 12:44:09.059 Z,,automatic,,,
024d8jcwug,2024-10-14 14:41:49.201 Z,,automatic,,,
024d8jgc0e,2024-10-14 14:57:45.420 Z,,automatic,,,
024d8kndnp,2024-10-14 16:58:28.858 Z,,automatic,,,
024d8ljz9l,2024-10-14 18:10:38.810 Z,,automatic,,,
024da5l3yo,2024-10-15 12:21:51.202 Z,,automatic,,,
024da5n0af,2024-10-15 12:30:36.936 Z,,automatic,,,
024da5sbqq,2024-10-15 12:55:17.941 Z,,automatic,,,
024da67612,2024-10-15 13:24:42.301 Z,,automatic,,,
024da6a6tg,2024-10-15 13:38:52.206 Z,,automatic,,,
024da6al86,2024-10-15 13:40:38.944 Z,,automatic,,,
024da6delw,2024-10-15 13:53:52.848 Z,,automatic,,,
024da6e28d,2024-10-15 13:56:59.018 Z,,automatic,,,
